Designator,Mid X,Mid Y,Rotation,Layer
C1,64.0,-71.95,90.0,top
C10,106.673334,-57.82,270.0,top
C12,107.0,-80.2,270.0,top
C13,109.25,-80.2,270.0,top
C14,61.5,-71.95,90.0,top
C2,61.5,-64.35,90.0,top
C3,64.0,-64.35,90.0,top
C4,64.0,-74.7,180.0,top
C5,70.626466,-77.678922,270.0,top
C6,72.0,-72.6,0.0,top
C7,75.7,-64.8,0.0,top
C8,75.7,-62.6,0.0,top
C9,104.440001,-57.82,270.0,top
D1,77.5,-76.107042,0.0,top
D2,77.4625,-83.55,0.0,top
J1,53.65,-91.35,270.0,top
J2,54.7,-66.2,270.0,top
J4,113.44,-66.79,90.0,top
J6,102.004022,-100.640267,90.0,top
J7,56.284022,-100.640267,90.0,top
J8,76.604022,-100.640267,90.0,top
JP1,55.1,-79.65,180.0,top
JP2,77.7,-88.95,0.0,top
Q1,74.2,-77.9,180.0,top
Q2,71.6,-86.2,180.0,top
Q3,112.5,-76.45,0.0,top
R1,61.35,-91.0125,270.0,top
R10,77.4625,-81.5352,0.0,top
R11,104.9,-60.9,0.0,top
R12,104.8875,-65.62,0.0,top
R13,104.8875,-67.98,0.0,top
R14,104.8875,-63.26,0.0,top
R15,111.0,-57.84,270.0,top
R16,108.906668,-57.84,270.0,top
R17,104.8875,-72.7,0.0,top
R18,104.8875,-70.34,0.0,top
R19,59.8125,-105.8,0.0,top
R2,61.35,-94.885,90.0,top
R20,63.5125,-105.8,180.0,top
R24,107.0,-76.45,270.0,top
R25,109.25,-76.45,90.0,top
R3,77.5,-73.9,0.0,top
R4,71.326466,-80.811098,0.0,top
R5,71.326466,-83.124331,0.0,top
R6,68.4,-72.6,0.0,top
R7,67.4,-87.7,0.0,top
SW1,63.45,-57.3,0.0,top
SW2,72.6,-57.3,0.0,top
TP1,69.380953,-63.4,0.0,top
TP10,98.2,-106.3,0.0,top
TP11,100.7,-106.3,0.0,top
TP12,103.2,-106.3,0.0,top
TP13,101.610652,-72.789681,0.0,top
TP14,107.1,-91.26,0.0,top
TP15,107.1,-93.8,0.0,top
TP16,107.1,-88.72,0.0,top
TP17,107.1,-86.0,0.0,top
TP18,107.1,-83.5,0.0,top
TP2,69.380953,-66.4,0.0,top
TP3,69.380953,-69.4,0.0,top
TP4,72.157144,-92.4,0.0,top
TP5,72.157144,-95.2,0.0,top
TP6,64.7,-92.4,0.0,top
TP7,64.7,-95.2,0.0,top
TP8,70.275512,-106.3,0.0,top
TP9,72.8,-106.3,0.0,top
U1,65.5,-81.0,270.0,top
U2,62.6375,-68.35,180.0,top
U3,89.35,-58.54,0.0,top
U4,103.535714,-85.98,180.0,top
